WAR,Age,G,PA,AB,2B,3B,HR,RBI,BA,SO,OBP,SLG,HBP,SH,SF
10.8,25,136,614,520,47,5,32,80,0.346,91,0.438,0.64,8,0,5
10.2,26,140,608,471,24,4,39,79,0.312,124,0.46,0.628,10,0,4
8.2,25,145,616,547,42,6,24,68,0.278,146,0.356,0.508,9,0,2
7.9,24,158,745,661,42,2,38,92,0.277,107,0.352,0.519,8,3,3
7.9,25,157,698,578,38,4,39,105,0.27,80,0.387,0.552,8,0,6
7.6,26,147,651,574,34,7,36,110,0.326,135,0.402,0.598,7,0,2
6.9,32,141,620,539,25,2,10,38,0.308,94,0.395,0.417,8,0,2
6.9,24,157,705,594,51,1,31,103,0.286,85,0.394,0.532,12,0,3
6.4,30,150,649,569,37,2,43,130,0.33,146,0.402,0.629,4,0,7
6.3,25,160,645,606,40,9,34,111,0.29,167,0.326,0.554,5,1,4
6.2,28,146,600,554,26,5,11,75,0.292,44,0.337,0.417,5,1,5
6.1,27,157,683,596,38,4,26,93,0.285,148,0.366,0.493,10,0,7
6.1,28,162,707,618,44,4,23,98,0.309,132,0.388,0.505,7,0,6
5.6,27,156,673,590,38,2,38,110,0.297,122,0.374,0.561,3,1,6
5.6,25,157,656,598,42,6,37,108,0.291,168,0.348,0.567,7,0,4
5.5,29,158,707,632,43,3,12,60,0.304,114,0.367,0.438,6,2,6
5.5,26,112,498,413,22,0,27,67,0.278,152,0.392,0.528,4,0,5
5.4,30,158,690,593,35,5,33,83,0.29,173,0.389,0.533,6,0,0
5.2,28,137,599,534,29,2,13,61,0.316,79,0.386,0.451,6,3,1
4.9,32,156,677,564,42,0,36,81,0.257,158,0.374,0.523,6,0,4
4.8,34,157,680,596,37,1,23,99,0.267,128,0.353,0.448,3,0,3
4.7,28,137,581,480,18,3,27,79,0.248,111,0.366,0.467,3,2,6
4.5,33,103,426,365,31,1,14,52,0.312,54,0.406,0.518,12,0,2
4.4,25,140,535,433,28,8,17,47,0.263,140,0.404,0.483,22,0,0
4.3,28,144,632,586,29,3,10,63,0.304,69,0.341,0.415,4,4,6
4.2,27,137,481,395,17,2,35,79,0.263,131,0.391,0.582,5,0,2
