WAR,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,TB,IBB
10.8,520,129,180,47,5,32,80,30,6,81,91,0.346,0.438,0.64,333,8
10.2,471,101,147,24,4,39,79,24,2,122,124,0.312,0.46,0.628,296,25
8.2,547,100,152,42,6,24,68,1,2,58,146,0.278,0.356,0.508,278,0
7.9,661,129,183,42,2,38,92,25,10,70,107,0.277,0.352,0.519,343,7
7.6,574,118,187,34,7,36,110,22,4,68,135,0.326,0.402,0.598,343,2
6.9,539,90,166,25,2,10,38,30,7,71,94,0.308,0.395,0.417,225,1
6.4,569,111,188,37,2,43,130,6,1,69,146,0.33,0.402,0.629,358,11
6.3,606,101,176,40,9,34,111,21,9,29,167,0.29,0.326,0.554,336,8
6.2,554,68,162,26,5,11,75,10,2,35,44,0.292,0.337,0.417,231,2
6.1,596,90,170,38,4,26,93,8,2,70,148,0.285,0.366,0.493,294,4
5.6,590,104,175,38,2,38,110,2,2,73,122,0.297,0.374,0.561,331,10
5.5,632,88,192,43,3,12,60,45,10,61,114,0.304,0.367,0.438,277,2
5.4,593,95,172,35,5,33,83,7,4,90,173,0.29,0.389,0.533,316,11
5.2,534,84,169,29,2,13,61,17,4,55,79,0.316,0.386,0.451,241,4
4.9,564,111,145,42,0,36,81,4,1,102,158,0.257,0.374,0.523,295,17
4.8,596,78,159,37,1,23,99,0,0,78,128,0.267,0.353,0.448,267,1
4.7,480,90,119,18,3,27,79,11,2,90,111,0.248,0.366,0.467,224,1
4.5,365,62,114,31,1,14,52,2,1,47,54,0.312,0.406,0.518,189,3
4.4,433,77,114,28,8,17,47,9,6,80,140,0.263,0.404,0.483,209,2
4.3,586,91,178,29,3,10,63,20,11,32,69,0.304,0.341,0.415,243,2
4.2,395,75,104,17,2,35,79,3,0,79,131,0.263,0.391,0.582,230,6
